ntor	|An|^2	Re[An]	Im[An]	Ntor
72	3.17645E-005	0.0056209	-0.000412188	28.8
73	2.66379E-005	0.0050198	-0.00119979	29.2
74	2.12289E-005	0.00422548	-0.00183691	29.6
75	1.59594E-005	0.00328018	-0.00228032	30
76	1.12383E-005	0.00223535	-0.0024983	30.4
77	7.43252E-006	0.00114851	-0.00247254	30.8
78	4.84218E-006	7.98054E-005	-0.00219905	31.2
79	3.68142E-006	-0.000911513	-0.00168836	31.6
80	4.06572E-006	-0.00177057	-0.000964781	32
81	6.0067E-006	-0.00245	-6.48433E-005	32.4
82	9.41419E-006	-0.00291258	0.000964916	32.8
83	1.41053E-005	-0.00313326	0.00207075	33.2
84	1.98195E-005	-0.0031004	0.00319484	33.6
85	2.62379E-005	-0.00281624	0.00427864	34
86	3.30065E-005	-0.0022965	0.00526618	34.4
87	3.97596E-005	-0.00156929	0.00610712	34.8
88	4.61434E-005	-0.000673247	0.00675945	35.2
89	5.18379E-005	0.000344823	0.00719159	35.6
90	5.65743E-005	0.00143274	0.00738387	36
91	6.01491E-005	0.00253595	0.00732926	36.4
92	6.24324E-005	0.00360059	0.00703336	36.8
93	6.3371E-005	0.00457633	0.0065137	37.2
94	6.29862E-005	0.00541905	0.00579829	37.6
95	6.13667E-005	0.0060929	0.00492375	38
96	5.86582E-005	0.00657192	0.00393295	38.4
97	5.50497E-005	0.00684098	0.00287241	38.8
98	5.07577E-005	0.00689601	0.00178961	39.2
99	4.60111E-005	0.00674371	0.000730398	39.6
100	4.10358E-005	0.0064005	-0.000263409	40
101	3.60411E-005	0.00589107	-0.00115603	40.4
102	3.12095E-005	0.00524651	-0.00191928	40.8
103	2.66884E-005	0.00450216	-0.00253357	41.2
104	2.2586E-005	0.00369535	-0.00298838	41.6
105	1.89701E-005	0.00286319	-0.00328212	42
106	1.587E-005	0.0020405	-0.00342147	42.4
107	1.32811E-005	0.00125803	-0.0034203	42.8
108	1.11711E-005	0.0005411	-0.00329823	43.2
109	9.48788E-006	-9.13731E-005	-0.00307889	43.6
